EPL-IN,GC,M/TC,OSs,PGC,Genes
0.0,0.0005521380935686092,0.0019786571359223302,0.0,0.0026971078889545187,Ccr2
0.01672593767080745,0.006810217467494776,0.006266260190644307,0.001343871345,0.006115191,Ccr5
0.0,0.00032890798049686553,0.007484656549867609,0.0,0.0,Ccr9
0.01607312598136646,0.0021623704575110285,0.0021844426725507503,0.0022847743191666665,0.001428206713526285,Ccrl2
0.03799188352795031,0.2785480837061764,0.046455015647837605,0.04495609616166667,0.14505006922858835,Ccsap
0.0,0.0022557514097980035,0.0,0.0,0.0013605939681039575,Cd109
0.07979705072670806,0.021995829004991866,0.062316451787290394,0.025889287024166666,0.036783808434140586,Cd151
0.24333449579503108,0.08606596037671237,0.3954531068481906,0.03360513860416667,0.10832587055818069,Cd164
0.015472488857142856,0.005398301650801022,0.017193601489849955,0.0047447260424999995,0.02188882014648553,Cd164l2
0.5068653908757764,0.17986522322312512,0.41298129018446605,0.061415846241666676,0.3395621356503246,Cd200
0.0,0.00010302661899233804,0.0,0.0012051289575,0.0,Cd200r1
0.0,0.0,0.0,0.0,0.0015727039734199644,Cd209a
0.0,0.00021855940225214767,0.0,0.0,0.0009489451376255169,Cd209d
0.0,0.002366361147202229,0.002157663504854369,0.0,0.0,Cd209g
0.0,0.0013991602636405853,0.0005390941006178288,0.0,0.0006114320372120496,Cd22
0.0,0.002038248344787555,0.006157361388349515,0.0023996467208333336,0.006737445875959834,Cd248
0.20988855991304345,0.18105857049361518,0.06621544828949692,0.031161996120833334,0.3968858996007087,Cd24a
0.0,0.0015695919911771538,0.005670119799646954,0.0,0.0021436875581807443,Cd274
0.04343335085093168,0.045576284992918506,0.020649349043248017,0.0036191141916666666,0.022935004583579437,Cd276
0.0,0.0009075105370327374,0.0006417432100617829,0.0,0.0,Cd300lf
0.03396639788819876,0.04405461262293941,0.3798886131676964,0.04391977526333333,0.035111222184878915,Cd302
0.01648415360869565,0.0055253005103320174,0.006873618414827891,0.003338714063333333,0.005260239588304785,Cd33
0.0,0.0020251478437427447,0.0022981887643424535,0.007388411691666666,0.0022119203106910805,Cd36
0.0,0.0027333588449036453,0.012903734976169463,0.00493648911,0.0039717504571766095,Cd38
0.0,0.00021116032679359184,0.0,0.0,0.0,Cd3e
0.0,0.00021660795681448803,0.0,0.0,0.0,Cd4
0.0,0.0012717512387973066,0.0024162975481023833,0.0,0.0,Cd40
0.03611044707453416,0.0010891895235662873,0.002981975814651368,0.0012288303825,0.0010847346751329,Cd44
0.012066211559006211,0.0029767152793127465,0.010686001817299208,0.0015270637258333335,0.002760383564678086,Cd48
0.013687268956521738,0.0060772634521708835,0.02089451430185349,0.0034804235400000003,0.009850228934435911,Cd55
0.16829358114906834,0.03900536047271884,0.1526727672100618,0.015962128659999998,0.10316305258062611,Cd59a
0.016646756149068322,0.004171235739145576,0.022376446819947046,0.00241703273,0.00822293625516834,Cd59b
0.8363277922484471,0.49236973585709426,0.4178059437599291,0.2281406842633333,1.1189183943538112,Cd63
0.016646756149068322,0.01627413005444625,0.03933207352868492,0.009129253918333333,0.021621841066745424,Cd68
0.0,0.0,0.005104289369814651,0.0,0.0,Cd7
0.0,0.003935402565823079,0.0018751614413062665,0.0,0.015484976985233314,Cd70
0.00937971352173913,0.011010270396795908,0.04055911750220653,0.0023171613849999996,0.030021470011813357,Cd83
0.20064525917391304,0.07234581100069652,0.23634914165225065,0.014747016111666665,0.0500593999562906,Cd99l2
0.05191040688198758,0.00528009798653355,0.0026656515657546335,0.0,0.007451531478440637,Cda
